country,code,year,children,safe,effective,beliefs
Cambodia,KH,2021,0.78,0.85,0.86,0.45
China,CN,2021,0.95,0.95,0.97,
Fiji,FJ,2021,0.74,0.91,0.86,0.59
Japan,JP,2021,0.52,0.6,0.75,0.23
Lao People's Democratic Republic,LA,2021,0.84,0.93,0.92,0.58
Malaysia,MY,2021,0.74,0.81,0.79,0.73
Mongolia,MN,2021,0.72,0.72,0.78,0.31
Papua New Guinea,PG,2021,0.3,0.41,0.39,0.34
Republic of Korea,KR,2021,0.61,0.65,0.73,0.59
Solomon Islands,SB,2021,0.69,0.73,0.72,0.44
Philippines,PH,2021,0.6,0.72,0.74,0.64
Tonga,TO,2021,0.93,0.98,0.92,0.92
UK,GB,2021,0.89,0.84,0.87,
Vanuatu,VU,2021,0.7,0.82,0.79,0.65
Viet Nam,VN,2021,0.93,0.91,0.94,0.64
